text,url
"English
7,069,000+ articles",https://en.wikipedia.org/
"日本語
1,475,000+ 記事",https://ja.wikipedia.org/
"Русский
2 065 000+ статей",https://ru.wikipedia.org/
"Deutsch
3.056.000+ Artikel",https://de.wikipedia.org/
"Français
2 712 000+ articles",https://fr.wikipedia.org/
"Español
2.065.000+ artículos",https://es.wikipedia.org/
"中文
1,503,000+ 条目 / 條目",https://zh.wikipedia.org/
"Italiano
1.938.000+ voci",https://it.wikipedia.org/
"Polski
1 670 000+ haseł",https://pl.wikipedia.org/
"Português
1.156.000+ artigos",https://pt.wikipedia.org/
,https://ar.wikipedia.org/
,https://de.wikipedia.org/
,https://en.wikipedia.org/
,https://es.wikipedia.org/
,https://fa.wikipedia.org/
,https://fr.wikipedia.org/
,https://it.wikipedia.org/
,https://arz.wikipedia.org/
,https://nl.wikipedia.org/
,https://ja.wikipedia.org/
,https://pl.wikipedia.org/
,https://pt.wikipedia.org/
,https://ceb.wikipedia.org/
,https://sv.wikipedia.org/
,https://uk.wikipedia.org/
,https://vi.wikipedia.org/
,https://war.wikipedia.org/
,https://zh.wikipedia.org/
,https://ru.wikipedia.org/
,https://af.wikipedia.org/
,https://sq.wikipedia.org/
,https://ast.wikipedia.org/
,https://az.wikipedia.org/
,https://bg.wikipedia.org/
,https://zh-min-nan.wikipedia.org/
,https://bn.wikipedia.org/
,https://be.wikipedia.org/
,https://ca.wikipedia.org/
,https://cs.wikipedia.org/
,https://cy.wikipedia.org/
,https://da.wikipedia.org/
,https://et.wikipedia.org/
,https://el.wikipedia.org/
,https://eo.wikipedia.org/
,https://eu.wikipedia.org/
,https://gl.wikipedia.org/
,https://ko.wikipedia.org/
,https://hy.wikipedia.org/
,https://hi.wikipedia.org/
,https://hr.wikipedia.org/
,https://id.wikipedia.org/
,https://he.wikipedia.org/
,https://ka.wikipedia.org/
,https://lld.wikipedia.org/
,https://la.wikipedia.org/
,https://lv.wikipedia.org/
,https://lt.wikipedia.org/
,https://hu.wikipedia.org/
,https://mk.wikipedia.org/
,https://mg.wikipedia.org/
,https://mr.wikipedia.org/
,https://ms.wikipedia.org/
,https://min.wikipedia.org/
,https://my.wikipedia.org/
,https://no.wikipedia.org/
,https://nn.wikipedia.org/
,https://ce.wikipedia.org/
,https://uz.wikipedia.org/
,https://kk.wikipedia.org/
,https://ro.wikipedia.org/
,https://simple.wikipedia.org/
,https://sk.wikipedia.org/
,https://sl.wikipedia.org/
,https://sr.wikipedia.org/
,https://sh.wikipedia.org/
,https://fi.wikipedia.org/
,https://sw.wikipedia.org/
,https://ta.wikipedia.org/
,https://tt.wikipedia.org/
,https://te.wikipedia.org/
,https://th.wikipedia.org/
,https://tg.wikipedia.org/
,https://azb.wikipedia.org/
,https://tr.wikipedia.org/
,https://ur.wikipedia.org/
,https://zh-yue.wikipedia.org/
,https://ace.wikipedia.org/
,https://als.wikipedia.org/
,https://am.wikipedia.org/
,https://an.wikipedia.org/
,https://hyw.wikipedia.org/
,https://gor.wikipedia.org/
,https://ban.wikipedia.org/
,https://bjn.wikipedia.org/
,https://map-bms.wikipedia.org/
,https://ba.wikipedia.org/
,https://be-tarask.wikipedia.org/
,https://bcl.wikipedia.org/
,https://bpy.wikipedia.org/
,https://bar.wikipedia.org/
,https://bs.wikipedia.org/
,https://br.wikipedia.org/
,https://cv.wikipedia.org/
,https://dag.wikipedia.org/
,https://ary.wikipedia.org/
,https://nv.wikipedia.org/
,https://eml.wikipedia.org/
,https://hif.wikipedia.org/
,https://fo.wikipedia.org/
,https://fy.wikipedia.org/
,https://ff.wikipedia.org/
,https://ga.wikipedia.org/
,https://gd.wikipedia.org/
,https://glk.wikipedia.org/
,https://gu.wikipedia.org/
,https://hak.wikipedia.org/
,https://ha.wikipedia.org/
